run,stage,val_loss,acc_argmax,acc_active,n_active,pct_filtered,long_prec,long_rec,short_prec,short_rec,ep_stopped,n_params,elapsed_min,D_MODEL,N_HEADS,N_LAYERS,D_FF,DROPOUT,LABEL_SMOOTH,LR_MAX,WARMUP_EP,PATIENCE,BATCH,EPOCHS,AUG_NOISE,AUG_MASK_P,SEQ_LEN,PATCH_SIZE,TP_PCT,SL_PCT,TB_TIMEOUT,LONG_THRESH,SHORT_THRESH,seed
S1-R1,LR,0.15493,0.6304,0.6618,411,69.4,0.704,0.889,0.347,0.137,27,964226,2.7,128,8,4,512,0.2,0.1,0.0001,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S1-R2,LR,0.12474,0.6908,0.7199,1089,18.9,0.789,0.836,0.492,0.415,45,964226,4.4,128,8,4,512,0.2,0.1,0.0002,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S1-R3,LR,0.12224,0.6692,0.6942,1102,17.9,0.807,0.76,0.451,0.521,40,964226,4.1,128,8,4,512,0.2,0.1,0.0003,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S1-R4,LR,0.11495,0.7027,0.7412,1078,19.7,0.795,0.865,0.545,0.42,35,964226,3.7,128,8,4,512,0.2,0.1,0.0005,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S1-R5,LR,0.09978,0.7042,0.7522,928,30.8,0.814,0.853,0.554,0.484,30,964226,3.3,128,8,4,512,0.2,0.1,0.001,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S2-Small,Capacity,0.11155,0.6982,0.7468,1078,19.7,0.799,0.869,0.553,0.424,36,250274,3.6,64,4,3,256,0.2,0.1,0.001,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S2-Deep,Capacity,0.09999,0.6997,0.735,1000,25.5,0.813,0.817,0.535,0.53,35,1359746,3.7,128,8,6,512,0.2,0.1,0.001,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S2-Wide,Capacity,0.0979,0.6461,0.6923,1092,18.6,0.826,0.724,0.465,0.61,32,2025762,3.2,192,8,4,768,0.2,0.1,0.001,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S2-Shallow,Capacity,0.093,0.7161,0.7637,1058,21.2,0.815,0.867,0.599,0.503,29,1907906,2.8,256,8,3,512,0.2,0.1,0.001,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S3-32p4,Context,0.0989,0.6841,0.7387,953,30.6,0.824,0.813,0.526,0.544,29,1907906,1.7,256,8,3,512,0.2,0.1,0.001,10,20,128,100,0.02,0.1,32,4,0.015,0.03,4,0.6,0.4,
S3-64p2,Context,0.09182,0.6796,0.7321,1060,21.0,0.825,0.797,0.52,0.566,41,1776834,4.0,256,8,3,512,0.2,0.1,0.001,10,20,128,100,0.02,0.1,64,2,0.015,0.03,4,0.6,0.4,
S3-96p4,Context,0.0982,0.6908,0.7299,1107,15.5,0.822,0.804,0.502,0.53,32,1907906,4.2,256,8,3,512,0.2,0.1,0.001,10,20,128,100,0.02,0.1,96,4,0.015,0.03,4,0.6,0.4,
S3-128p8,Context,0.10354,0.669,0.7438,851,33.4,0.816,0.842,0.512,0.466,31,2170050,5.2,256,8,3,512,0.2,0.1,0.001,10,20,128,100,0.02,0.1,128,8,0.015,0.03,4,0.6,0.4,
S4-D0.10-L0.10,Regularisation,0.10164,0.6982,0.7385,1002,25.3,0.821,0.814,0.533,0.544,32,1907906,3.1,256,8,3,512,0.1,0.1,0.001,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
S4-D0.15-L0.10,Regularisation,0.0993,0.7124,0.755,1049,21.8,0.825,0.843,0.551,0.518,33,1907906,3.3,256,8,3,512,0.15,0.1,0.001,10,20,128,100,0.02,0.1,64,4,0.015,0.03,4,0.6,0.4,
