stage,set,balanced_prec,long_prec,short_prec,coverage,n_long,n_short,exp_pnl_long,exp_pnl_short,p_low_pct,p_high_pct,lt_low,st_low,lt_mid,st_mid,lt_high,st_high
A,val,0.2378,0.4444,0.1,0.1463,27,170,-0.01,-0.0255,30,67,0.55,0.45,0.6,0.4,0.72,0.28
A,val,0.2378,0.4444,0.1,0.1463,27,170,-0.01,-0.0255,30,70,0.55,0.45,0.6,0.4,0.72,0.28
A,val,0.2378,0.4444,0.1,0.1463,27,170,-0.01,-0.0255,30,75,0.55,0.45,0.6,0.4,0.72,0.28
A,val,0.2378,0.4444,0.1,0.1463,27,170,-0.01,-0.0255,30,80,0.55,0.45,0.6,0.4,0.72,0.28
A,val,0.2378,0.4444,0.1,0.1463,27,170,-0.01,-0.0255,30,85,0.55,0.45,0.6,0.4,0.72,0.28
A,val,0.2406,0.4516,0.1,0.1566,31,180,-0.00968,-0.0255,33,67,0.55,0.45,0.6,0.4,0.72,0.28
A,val,0.2406,0.4516,0.1,0.1566,31,180,-0.00968,-0.0255,33,70,0.55,0.45,0.6,0.4,0.72,0.28
A,val,0.2406,0.4516,0.1,0.1566,31,180,-0.00968,-0.0255,33,75,0.55,0.45,0.6,0.4,0.72,0.28
A,val,0.2406,0.4516,0.1,0.1566,31,180,-0.00968,-0.0255,33,80,0.55,0.45,0.6,0.4,0.72,0.28
A,val,0.2406,0.4516,0.1,0.1566,31,180,-0.00968,-0.0255,33,85,0.55,0.45,0.6,0.4,0.72,0.28
C,val,0.3472,0.669,0.1327,0.6095,429,392,0.0001,-0.02403,33,67,0.5,0.46,0.5,0.46,0.5,0.46
C,val,0.3504,0.669,0.1379,0.6199,429,406,0.0001,-0.02379,33,67,0.5,0.46,0.5,0.46,0.5,0.47
C,val,0.3549,0.669,0.1455,0.6347,429,426,0.0001,-0.02345,33,67,0.5,0.46,0.5,0.46,0.5,0.48
C,val,0.3556,0.669,0.1466,0.6578,429,457,0.0001,-0.0234,33,67,0.5,0.46,0.5,0.46,0.5,0.49
C,val,0.3469,0.6683,0.1327,0.5887,401,392,7e-05,-0.02403,33,67,0.5,0.46,0.5,0.46,0.51,0.46
C,val,0.3501,0.6683,0.1379,0.5991,401,406,7e-05,-0.02379,33,67,0.5,0.46,0.5,0.46,0.51,0.47
C,val,0.3547,0.6683,0.1455,0.614,401,426,7e-05,-0.02345,33,67,0.5,0.46,0.5,0.46,0.51,0.48
C,val,0.3553,0.6683,0.1466,0.637,401,457,7e-05,-0.0234,33,67,0.5,0.46,0.5,0.46,0.51,0.49
C,val,0.3593,0.6683,0.1532,0.6563,401,483,7e-05,-0.02311,33,67,0.5,0.46,0.5,0.46,0.51,0.5
C,val,0.3484,0.6719,0.1327,0.5739,381,392,0.00024,-0.02403,33,67,0.5,0.46,0.5,0.46,0.52,0.46
