run,stage,val_loss,acc_argmax,acc_active,n_active,pct_filtered,long_prec,long_rec,short_prec,short_rec,balanced_prec,ep_stopped,n_params,elapsed_min,D_MODEL,N_HEADS,N_LAYERS,D_FF,PATCH_SIZE,SEQ_LEN,DROPOUT,LABEL_SMOOTH,LR_MAX,WARMUP_EP,PATIENCE,BATCH,EPOCHS,AUG_NOISE,AUG_MASK_P,TP_PCT,SL_PCT,TB_TIMEOUT,LONG_THRESH,SHORT_THRESH,FOCAL_GAMMA,SHORT_WEIGHT_FACTOR,GRAD_CLIP,SCHEDULER_TYPE
A1-g1.5-w1.0,Short-Precision,0.13651,0.7019,0.7611,992,26.1,0.829,0.853,0.546,0.502,0.6592,36,1907906,3.6,256,8,3,512,4,64,0.25,0.1,0.001,10,20,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,1.5,1.0,1.0,cosine
A2-g3.0-w1.0,Short-Precision,0.05461,0.5857,0.6366,908,32.3,0.839,0.592,0.442,0.739,0.6008,30,1907906,2.8,256,8,3,512,4,64,0.25,0.1,0.001,10,20,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,3.0,1.0,1.0,cosine
A3-g2.0-w1.5,Short-Precision,0.11995,0.7198,0.7639,1063,20.8,0.837,0.843,0.554,0.544,0.6672,32,1907906,3.0,256,8,3,512,4,64,0.25,0.1,0.001,10,20,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,2.0,1.5,1.0,cosine
A4-g2.0-w2.0,Short-Precision,0.12802,0.7198,0.7601,1042,22.4,0.815,0.868,0.569,0.468,0.6674,30,1907906,2.8,256,8,3,512,4,64,0.25,0.1,0.001,10,20,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,2.0,2.0,1.0,cosine
A5-g3.0-w1.5,Short-Precision,0.07119,0.6289,0.6505,987,26.5,0.817,0.648,0.44,0.655,0.5908,29,1907906,2.9,256,8,3,512,4,64,0.25,0.1,0.001,10,20,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,3.0,1.5,1.0,cosine
A6-g1.5-w2.0,Short-Precision,0.15614,0.7191,0.7379,1179,12.1,0.818,0.821,0.522,0.517,0.6404,35,1907906,3.5,256,8,3,512,4,64,0.25,0.1,0.001,10,20,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,1.5,2.0,1.0,cosine
B1-LR7e4,LR-Stability,0.13162,0.6669,0.6975,1091,18.7,0.824,0.733,0.479,0.61,0.617,30,1907906,3.0,256,8,3,512,4,64,0.25,0.1,0.0007,10,20,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,2.0,2.0,1.0,cosine
B2-W20,LR-Stability,0.13624,0.7534,0.7782,1154,14.0,0.819,0.899,0.602,0.433,0.6888,33,1907906,3.2,256,8,3,512,4,64,0.25,0.1,0.001,20,20,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,2.0,2.0,1.0,cosine
B3-P30,LR-Stability,0.12786,0.6848,0.7163,1114,17.0,0.822,0.779,0.481,0.548,0.6174,44,1907906,4.3,256,8,3,512,4,64,0.25,0.1,0.001,10,30,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,2.0,2.0,1.0,cosine
B4-GC05,LR-Stability,0.12695,0.6997,0.7472,997,25.7,0.83,0.818,0.544,0.563,0.6584,29,1907906,2.9,256,8,3,512,4,64,0.25,0.1,0.001,10,20,128,100,0.02,0.1,0.015,0.03,4,0.6,0.4,2.0,2.0,0.5,cosine
